section	package	result	detail
libs	libcsiphash-1-0	OK-nobin	install=OK run=na (no binary)
libs	libklipper6	F-held	install=FAIL E: Unable to correct problems, you have held broken packages.
libs	libgnatcoll-omp2	OK-nobin	install=OK run=na (no binary)
libdevel	libn32objc-16-dev-mips64r6el-cross	OK-nobin	install=OK run=na (no binary)
libdevel	nlinline-dev	OK-nobin	install=OK run=na (no binary)
libdevel	libdi-dev	OK-nobin	install=OK run=na (no binary)
devel	linux-libc-dev-armel-cross	F-held	install=FAIL E: Unable to correct problems, you have held broken packages.
devel	libstdc++-14-dev-arm64-cross	F-held	install=FAIL E: Unable to correct problems, you have held broken packages.
devel	gobjc-mingw-w64-ucrt64	OK-nobin	install=OK run=na (no binary)
debug	hylafax-client-dbg	F-held	install=FAIL E: Unable to correct problems, you have held broken packages.
debug	libstdc++6-15-dbg	F-held	install=FAIL E: Unable to correct problems, you have held broken packages.
debug	xen-utils-4.20-dbg	F-script	install=FAIL install: cannot create directory ‘/var/log/xen’: Operation not permitted
introspection	gir1.2-clapper-0.0	OK-nobin	install=OK run=na (no binary)
introspection	gir1.2-fcitxg-1.0	OK-nobin	install=OK run=na (no binary)
introspection	gir1.2-spiceclientgtk-3.0	F-script	install=FAIL dpkg: error processing archive /tmp/apt-dpkg-install-Fq8G1k/0-spice-client-glib-usb-acl-helper_0.42-4+b1_amd64.deb (--unpack):
vcs	git-svn	F-held	install=FAIL E: Unable to correct problems, you have held broken packages.
vcs	git-secret	OK-direct	install=OK run: git-secret=direct
vcs	git-all	F-held	install=FAIL E: Unable to correct problems, you have held broken packages.
python	python3-bluetooth-adapters	OK-nobin	install=OK run=na (no binary)
python	python3-slicerator	OK-nobin	install=OK run=na (no binary)
python	python3-yamlfix	OK-direct	install=OK run: yamlfix=direct
perl	libipc-sharelite-perl	OK-nobin	install=OK run=na (no binary)
perl	libexception-class-dbi-perl	OK-nobin	install=OK run=na (no binary)
perl	libtext-charwidth-perl	sys	install=OK run=na (system copy)
ruby	ruby-sentry-sidekiq	runfail	install=OK run: test=fail[/var/lib/dsb/sl-fresh/.local/usr/share/rubygems-integration/all/gems/s]
