section	package	install_verdict	runtime	reason
admin	apt-verify	OK	overlay	section=admin
admin	arpwatch	UNLIKELY	never	script: /etc/init.d,invoke-rc.d,systemctl,update-rc.d
admin	fai-client	UNLIKELY	never	deps: debconf
admin	fence-agents-vmware-soap	OK	overlay	section=admin
admin	fence-agents-wti	OK	overlay	section=admin
admin	golang-github-etcd-io-gofail-dev	OK	direct	section=admin
admin	ikiwiki-hosting-dns	OK	overlay	section=admin
admin	ldap-git-backup	OK	direct	section=admin
admin	libpam-cgfs	UNLIKELY	never	paths: /usr/share/pam-configs/
admin	mbmon	UNLIKELY	never	deps: init-system-helpers script: /etc/init.d,invoke-rc.d,systemctl,update-rc.d
admin	ophcrack	OK	direct	section=admin
admin	sedutil	OK	overlay	section=admin
cli-mono	cli-common-dev	OK	overlay	section=cli-mono
cli-mono	hexbox	OK	overlay	section=cli-mono
cli-mono	libhexbox1.5-cil	OK	direct	section=cli-mono
cli-mono	liblog4net-cil-dev	OK	direct	section=cli-mono
cli-mono	liblog4net1.2-cil	OK	direct	section=cli-mono
cli-mono	libmono-cecil-cil	OK	direct	section=cli-mono
cli-mono	libmono-cecil-cil-dev	OK	direct	section=cli-mono
cli-mono	libopentk-cil-dev	OK	direct	section=cli-mono
cli-mono	libopentk1.1-cil	OK	direct	section=cli-mono
cli-mono	mono-libraries	OK	direct	section=cli-mono
cli-mono	mono-runtime	RISKY	overlay	script: update-alternatives
cli-mono	openmcdf	OK	overlay	section=cli-mono
comm	airspyhf	OK	overlay	section=comm
comm	asterisk-mysql	OK	direct	section=comm
comm	binkd	UNLIKELY	never	script: /etc/init.d,invoke-rc.d,systemctl,update-rc.d
comm	ipp-usb	UNLIKELY	never	script: systemctl
comm	janus-demos	OK	direct	section=comm
comm	mgetty-docs	OK	direct	section=comm
comm	mgetty-voice	OK	overlay	section=comm
comm	obexftp	OK	overlay	section=comm
comm	twinkle-common	OK	direct	section=comm
comm	vvmplayer	RISKY	overlay	paths: /etc/xdg/autostart/,/usr/share/dbus-1/
comm	wmbusmeters	UNLIKELY	never	deps: adduser script: adduser,systemctl
comm	wvdial	UNLIKELY	never	deps: debconf script: Debconf,debconf
database	fis-gtm	OK	direct	section=database
database	kexi-mysql-driver	OK	direct	section=database
database	mariadb-client-compat	OK	direct	section=database
database	mariadb-client-core	OK	overlay	section=database
database	mariadb-plugin-provider-lzma	OK	direct	section=database
database	pgloader	OK	direct	section=database
database	postgresql-18-pg-ivm	OK	direct	section=database
database	postgresql-18-q3c	OK	direct	section=database
database	postgresql-18-stat-log	OK	direct	section=database
