section	package	sample
libs	libcsiphash-1-0	in-scope
libs	libklipper6	in-scope
libs	libgnatcoll-omp2	in-scope
libdevel	libn32objc-16-dev-mips64r6el-cross	in-scope
libdevel	nlinline-dev	in-scope
libdevel	libdi-dev	in-scope
devel	linux-libc-dev-armel-cross	in-scope
devel	libstdc++-14-dev-arm64-cross	in-scope
devel	gobjc-mingw-w64-ucrt64	in-scope
debug	hylafax-client-dbg	in-scope
debug	libstdc++6-15-dbg	in-scope
debug	xen-utils-4.20-dbg	in-scope
introspection	gir1.2-clapper-0.0	in-scope
introspection	gir1.2-fcitxg-1.0	in-scope
introspection	gir1.2-spiceclientgtk-3.0	in-scope
vcs	git-svn	in-scope
vcs	git-secret	in-scope
vcs	git-all	in-scope
python	python3-bluetooth-adapters	in-scope
python	python3-slicerator	in-scope
python	python3-yamlfix	in-scope
perl	libipc-sharelite-perl	in-scope
perl	libexception-class-dbi-perl	in-scope
perl	libtext-charwidth-perl	in-scope
ruby	ruby-sentry-sidekiq	in-scope
ruby	ruby-money	in-scope
ruby	ruby-bundler	in-scope
rust	librust-wezterm-input-types-dev	in-scope
rust	librust-typemap-ors-dev	in-scope
rust	librust-vte-dev	in-scope
golang	golang-github-google-go-tdx-guest-dev	in-scope
golang	golang-github-jacobsa-util-dev	in-scope
golang	golang-github-armon-go-proxyproto-dev	in-scope
haskell	libghc-pointedlist-prof	in-scope
haskell	libghc-classy-prelude-conduit-prof	in-scope
haskell	libghc-comonad-prof	in-scope
javascript	node-jszip	in-scope
javascript	node-array-from	in-scope
javascript	node-wide-align	in-scope
java	libjavassist-java	in-scope
java	libopenjfx-jni	in-scope
java	libjlayer-java	in-scope
php	php-symfony-go-ip-notifier	in-scope
php	php-horde-sessionhandler	in-scope
php	php-ramsey-collection	in-scope
ocaml	libstdcompat-ocaml	in-scope
ocaml	libstdlib-ocaml	in-scope
ocaml	libmarkup-lwt-ocaml-dev	in-scope
lisp	irony-server	in-scope
lisp	elpa-migemo	in-scope
lisp	ecl	in-scope
