section	package	install	detail	run	programs
libs	libcsiphash-1-0	ok		none	
libs	libklipper6	skew	- libqt6core6t64:amd64=6.11.2+dfsg-5 is not selected for install because: libqt6core6t64:amd64=6.10.2+dfsg-16 is selected for install	-	
libs	libgnatcoll-omp2	ok		none	
libdevel	libn32objc-16-dev-mips64r6el-cross	ok		none	
libdevel	nlinline-dev	ok		none	
libdevel	libdi-dev	ok		none	
devel	linux-libc-dev-armel-cross	skew	linux-libc-dev:amd64=7.2.7-1 is not selected for install because: linux-libc-dev:amd64=7.1.13-1 is selected for install	-	
devel	libstdc++-14-dev-arm64-cross	skew	- linux-libc-dev:amd64=7.2.7-1 is not selected for install because: linux-libc-dev:amd64=7.1.13-1 is selected for install	-	
devel	gobjc-mingw-w64-ucrt64	ok		none	
debug	hylafax-client-dbg	skew	- libgs10:amd64=10.08.0~dfsg-2 is not selected for install because: libgs10:amd64=10.07.1~dfsg-1 is selected for install	-	
debug	libstdc++6-15-dbg	skew	- gcc-15-base:amd64=15.3.0-4 is not selected for install because: gcc-15-base:amd64=15.3.0-3 is selected for install	-	
debug	xen-utils-4.20-dbg	script	install: cannot change owner and permissions of ‘/var/log/xen’: Invalid argument old xen-utils-common package postinst maintainer script subprocess failed with exit status 1 	-	
introspection	gir1.2-clapper-0.0	ok		none	
introspection	gir1.2-fcitxg-1.0	ok		none	
introspection	gir1.2-spiceclientgtk-3.0	ok		none	
vcs	git-svn	skew	- git:amd64=1:2.55.0-1 is not selected for install because: git:amd64=1:2.53.0-1 is selected for install	-	
vcs	git-secret	ok		ok	git-secret:direct:ok
vcs	git-all	skew	- git:amd64=1:2.55.0-1 is not selected for install because: git:amd64=1:2.53.0-1 is selected for install	-	
python	python3-bluetooth-adapters	ok		none	
python	python3-slicerator	ok		none	
python	python3-yamlfix	ok		ok	yamlfix:view:ok
perl	libipc-sharelite-perl	ok		none	
perl	libexception-class-dbi-perl	ok		none	
perl	libtext-charwidth-perl	other	libtext-charwidth-perl is already the newest version (0.04-12+b1). Solving dependencies... 0 upgraded, 0 newly installed, 0 to remove and 249 not upgraded. 	-	
ruby	ruby-sentry-sidekiq	ok		none	
ruby	ruby-money	ok		none	
ruby	ruby-bundler	ok		ok	bundle:view:ok,bundler:view:ok
rust	librust-wezterm-input-types-dev	ok		none	
rust	librust-typemap-ors-dev	ok		none	
rust	librust-vte-dev	ok		none	
golang	golang-github-google-go-tdx-guest-dev	ok		none	
golang	golang-github-jacobsa-util-dev	ok		none	
golang	golang-github-armon-go-proxyproto-dev	ok		none	
haskell	libghc-pointedlist-prof	ok		none	
haskell	libghc-classy-prelude-conduit-prof	ok		none	
haskell	libghc-comonad-prof	ok		none	
javascript	node-jszip	ok		none	
javascript	node-array-from	ok		none	
javascript	node-wide-align	ok		none	
java	libjavassist-java	ok		none	
java	libopenjfx-jni	ok		none	
java	libjlayer-java	ok		none	
php	php-symfony-go-ip-notifier	ok		none	
php	php-horde-sessionhandler	ok		none	
php	php-ramsey-collection	ok		none	
ocaml	libstdcompat-ocaml	ok		none	
ocaml	libstdlib-ocaml	ok		none	
ocaml	libmarkup-lwt-ocaml-dev	ok		none	
lisp	irony-server	ok		ok	irony-server:view:ok
lisp	elpa-migemo	skew	- gcc-15-base:amd64=15.3.0-4 is not selected for install because: gcc-15-base:amd64=15.3.0-3 is selected for install	-	
lisp	ecl	ok		ok	ecl:view:ok,ecl-config:direct:ok
gnu-r	r-cran-conflicted	skew	- gcc-16-base:amd64=16.2.0-3 is not selected for install because: gcc-16-base:amd64=16.2.0-2 is selected for install	-	
gnu-r	r-cran-wk	skew	- gcc-16-base:amd64=16.2.0-3 is not selected for install because: gcc-16-base:amd64=16.2.0-2 is selected for install	-	
gnu-r	r-bioc-affyio	skew	- gcc-16-base:amd64=16.2.0-3 is not selected for install because: gcc-16-base:amd64=16.2.0-2 is selected for install	-	
interpreters	erlang-odbc	script	Failed to take /etc/passwd lock: Permission denied old erlang-base package postinst maintainer script subprocess failed with exit status 1 	-	
interpreters	lua-moses	ok		none	
interpreters	cpp-16-for-build	skew	- cpp-16:amd64=16.2.0-3 is not selected for install because: cpp-16:amd64=16.2.0-2 is selected for install	-	
utils	pixelmed-apps	ok		ok	DicomSRValidator:view:ok,ImageToDicom:view:ok,NIfTI1ToDicom:view:ok,NRRDToDicom:view:ok,PDFToDicomImage:view:ok,StructuredReport:view:ok
utils	zipcmp	ok		ok	zipcmp:view:ok
utils	sedsed	script	Selecting previously unselected package sedsed. [Errno 13] Permission denied: '/usr/lib/python3/dist-packages/__pycache__/sedparse.cpython-314.pyc.139645523856608'Setting up sedsed (2.0.0-3) ... [Errno 13] Permission denied: '/usr/lib/python3/dist-packages/__pycache__/sedsed.cpython-314.pyc.140340	-	
text	apvlv	skew	- libqt6network6:amd64=6.11.2+dfsg-5 is not selected for install because: libqt6network6:amd64=6.10.2+dfsg-16 is selected for install	-	
text	hyphen-nl	ok		none	
text	dblatex	ok		ok	dblatex:view:ok
editors	vim-addon-manager	ok		ok	vam:view:ok,vim-addon-manager:view:ok,vim-addons:view:ok
editors	texworks	skew	- libqt6core6t64:amd64=6.11.2+dfsg-5 is not selected for install because: libqt6core6t64:amd64=6.10.2+dfsg-16 is selected for install	-	
editors	ng-cjk	script	update-alternatives: using /usr/bin/ng to provide /usr/bin/editor (editor) in auto mode update-alternatives: error: cannot remove '/usr/share/man/da/man1/editor.1.gz': Permission denied old ng-common package postinst maintainer script subprocess failed with exit status 2 	-	
shells	bash-static	ok		ok	bash-static:direct:ok
shells	yash	script	chown: changing ownership of '/etc/shells.tmp': Invalid argument chown: changing ownership of '/etc/shells.tmp': Invalid argument old yash package postinst maintainer script subprocess failed with exit status 1 	-	
shells	fish-common	ok		none	
doc	starlink-task-java-doc	ok		none	
doc	python-django-split-settings-doc	ok		none	
doc	monodoc-hexbox-manual	ok		none	
fonts	fonts-taml-tamu	ok		none	
fonts	fonts-terminus-otb	ok		none	
fonts	font-manager-common	ok		none	
localization	firefox-esr-l10n-da	skew	- firefox-esr:amd64=140.16.0esr-1 is not selected for install because: firefox-esr:amd64=140.15.0esr-1 is selected for install	-	
localization	libvirt-l10n	ok		none	
localization	libreoffice-l10n-ko	ok		none	
tex	latexml	ok		ok	latexml:view:ok,latexmlc:view:ok,latexmlfind:view:ok,latexmlmath:view:ok,latexmlpost:view:ok
tex	csv2latex	ok		ok	csv2latex:direct:ok
tex	purifyeps	skew	- libgs10:amd64=10.08.0~dfsg-2 is not selected for install because: libgs10:amd64=10.07.1~dfsg-1 is selected for install	-	
science	gyoto-bin	skew	- gcc-16-base:amd64=16.2.0-3 is not selected for install because: gcc-16-base:amd64=16.2.0-2 is selected for install	-	
science	mricron	ok		untested	mricron:view:gui
science	flextra	skew	- gcc-16-base:amd64=16.2.0-3 is not selected for install because: gcc-16-base:amd64=16.2.0-2 is selected for install	-	
math	qalculate-gtk	ok		ok	qalculate-gtk:view:ok
